2019-02-27 16:22:58 status unpacked locales:all 2.23-0ubuntu3
2019-02-27 16:22:58 status unpacked locales:all 2.23-0ubuntu3
2019-02-27 16:22:58 install login:i386 <none> 1:4.2-3.1ubuntu5
2019-02-27 16:22:58 status half-installed login:i386 1:4.2-3.1ubuntu5
2019-02-27 16:22:58 status unpacked login:i386 1:4.2-3.1ubuntu5
2019-02-27 16:22:58 status unpacked login:i386 1:4.2-3.1ubuntu5
2019-02-27 16:22:58 install lsb-base:all <none> 9.20160110
2019-02-27 16:22:58 status half-installed lsb-base:all 9.20160110
2019-02-27 16:22:58 status unpacked lsb-base:all 9.20160110
2019-02-27 16:22:58 status unpacked lsb-base:all 9.20160110
2019-02-27 16:22:58 install makedev:all <none> 2.3.1-93ubuntu1
2019-02-27 16:22:58 status half-installed makedev:all 2.3.1-93ubuntu1
2019-02-27 16:22:58 status unpacked makedev:all 2.3.1-93ubuntu1
2019-02-27 16:22:58 status unpacked makedev:all 2.3.1-93ubuntu1
2019-02-27 16:22:58 upgrade mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2019-02-27 16:22:58 status half-configured mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:58 status unpacked mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:58 status half-installed mawk:i386 1.3.3-17ubuntu2
